,City,Country,Lon,Lat,humidity,temp,clouds,wind speed(mph)
0,Putina,PE,-69.87,-14.91,17,57.2,40,4.7
1,Port Alfred,ZA,26.89,-33.59,95,65.19,44,13.15
2,Dunedin,NZ,170.5,-45.87,75,37.83,12,21.88
3,Yellowknife,CA,-114.38,62.45,87,42.8,75,8.05
4,Souillac,MU,57.52,-20.52,69,75.2,75,13.87
5,Cruzeiro do Sul,BR,-72.67,-7.63,44,95,75,8.05
6,Leningradskiy,RU,178.42,69.38,98,39.18,56,12.48
7,Dikson,RU,80.55,73.51,94,40.26,92,31.05
8,Punta Arenas,CL,-70.91,-53.16,93,44.6,20,6.93
9,Ushuaia,AR,-68.31,-54.81,51,39.2,75,11.41
10,Vao,NC,167.48,-22.67,100,68.88,12,12.26
11,Leh,IN,77.58,34.16,85,15.78,8,0.63
12,Jamestown,SH,-5.72,-15.94,100,67.62,0,14.83
13,Kapaa,US,-159.32,22.08,84,78.08,90,10.29
14,Thompson,CA,-97.86,55.74,86,39.2,75,2.24
15,Karakol,KG,78.39,42.49,100,24.78,0,2.64
16,Porto Santo,PT,-16.34,33.07,69,75.2,75,8.05
17,Komsomolskiy,RU,63.78,67.55,91,46.65,88,5.44
18,Kruisfontein,ZA,24.73,-34,95,59.79,12,12.48
19,Jabinyanah,TN,10.91,35.03,57,80.6,0,13.87
20,Cape Town,ZA,18.42,-33.93,72,59,75,21.92
21,Kazachinskoye,RU,93.28,57.69,97,45.48,68,7.34
22,Lavrentiya,RU,-170.99,65.58,100,40.89,36,10.8
23,Albany,AU,117.88,-35.02,91,49.8,56,4.99
24,Hilo,US,-155.08,19.71,90,75.02,20,4.7
25,Drayton Valley,CA,-114.98,53.22,73,52.86,24,10.25
26,Hvide Sande,DK,8.13,56.01,71,53.6,92,9.17
27,Arraial do Cabo,BR,-42.02,-22.97,58,84.2,20,12.75
28,Vredendal,ZA,18.49,-31.68,85,55.74,88,8.23
29,Marang,MY,103.21,5.21,88,78.8,75,1.12
30,Hobyo,SO,48.53,5.35,85,77.43,0,15.05
31,Kahului,US,-156.47,20.89,87,75.2,1,3.36
32,Farafenni,GM,-15.6,13.57,77,85.17,44,6.44
33,Znamenskoye,RU,73.82,57.13,86,50.16,0,4.54
34,Chuy,UY,-53.46,-33.69,87,64.74,76,17.29
35,Lincoln,NZ,172.49,-43.64,80,39.2,0,4.7
36,Kotido,UG,34.12,3.01,47,74.28,0,10.92
37,Vardo,NO,31.11,70.37,60,42.8,0,17.22
38,Matara,LK,80.54,5.95,95,79.14,20,5.99
39,Hobart,AU,147.33,-42.88,78,35.6,20,3.36
40,Riyadh,SA,46.72,24.63,13,95,0,3.36
41,Hilsa,IN,85.28,25.32,88,82.4,40,8.23
42,Broome,AU,122.23,-17.97,83,69.8,0,3.2
43,Taoudenni,ML,-3.98,22.68,14,97.41,0,2.98
44,Butaritari,KI,172.79,3.07,100,83.64,0,13.6
45,Bredasdorp,ZA,20.04,-34.53,42,68,0,23.04
46,Port Augusta,AU,137.76,-32.49,87,44.6,0,5.82
47,Tuktoyaktuk,CA,-133.03,69.44,79,28.4,90,3.36
48,Yumen,CN,97.04,40.29,51,48.81,20,8.68
49,Rikitea,PF,-134.97,-23.12,100,71.58,88,24.23
50,Eufaula,US,-85.15,31.89,54,93.02,20,8.05
51,Fare,PF,-151.02,-16.7,100,76.98,8,13.27
52,Chimbote,PE,-78.59,-9.08,80,67.08,20,6.67
53,Lagoa,PT,-8.45,37.14,65,80.6,0,9.17
54,Atuona,PF,-139.03,-9.8,100,78.78,0,10.69
55,Sitka,US,-99.65,37.17,64,72.12,20,27.36
56,Port Macquarie,AU,152.91,-31.43,93,50,75,5.82
57,Avarua,CK,-159.78,-21.21,78,75.2,40,4.7
58,Ribeira Grande,PT,-28.7,38.52,73,75.2,40,9.17
59,Alofi,NU,-169.92,-19.06,94,68,40,4.76
60,Lewisporte,CA,-55.06,49.25,42,46.4,40,11.41
61,Oranjestad,AW,-70.03,12.52,66,87.8,75,24.16
